ID	QuestionBody	wikipediaURL	movieName
1058	i remember watchig this movie back in the 90s in english this boy and a man was running from something. it seemed like a horror movie. only scene i can recal in my head is the man and boy was in a house or shed and these sharp eyeball looking things but were metal and had blades on the side that were trying to kill them. the blades went after the boy i think and he ducked and it went onto the door and got stuck.	https://en.wikipedia.org/wiki/Phantasm_(film)	Phantasm (film)
304	A movie I saw on tv a while ago about a few girls, maybe siblings or siblings and friends, who perform a witchy ritual in the woods (i thinkk they were naked) and 1 or maybe 2 girls fell into a coma. i remember that she was in her bed in an attic room as well. I dont remember if it was american or british but it was in english. it was a fairly recent movie, i think maybe 2000s but not before 1995 at least. please help i really want to watch this movie !	https://en.wikipedia.org/wiki/The_Crucible_(1996_film)	The Crucible (1996 film)
831	I had read in a movie review that the movie Run Lola Run was similar to the idea explored in another (possibly French) movie that showed 16 different storylines based on a decision to light a cigarette.	http://en.wikipedia.org/wiki/Smoking/No_Smoking	No Smoking
558	At some point the the 90’s I saw a film on tv (probably HBO) that was set in the 1700’s. I don’t remember much, but I was just thinking about it and it’s bothering me not knowing now. I remember there was a decent amount of sex/sexual references. It’s not your typical pride and prejudiced, sense and sensibility type period piece. I’m pretty sure there were quite a few well known actors in it as well, I just can’t seem to remember any of them. There was a point in the film where there was some sort of scheme for this one man to sleep with a young girl and take her virginity. That’s all I really remember. Any ideas?	https://en.wikipedia.org/wiki/Dangerous_Liaisons	Dangerous Liaisons
1013	so there is this movie based off the 1950s t0 60s(in color) it is during a war or a nuclear bomb time . its not to dramatic even thoe it during a warish time because its a comedy. there are these parents I think the mom is blonde they have a son. they protect him in an underground bombshelter that is just like the real world .one day he finally sees the present world (which looks like 1990-2012). key clues he meets a homeless guy that says he is jesus, a black women he calls a  negro, he has a love interest , he has this special cream from the 50s or 60s, at the end of the movie he buys his parents a house (I think he can afford it bcuz he found a way to make the ointment he had ) tnx guyz if you read this I really enjoy movies when I watch them they really make me feel like life doesn’t suck so your help is appreciated( I think I saw it on showtime or hbo in 2013 9r 14 but I don’t think it came out that late)  	https://en.wikipedia.org/wiki/Blast_from_the_Past_(film)	Blast from the Past (film)
990	I am looking for a 1940s-1950s black and white movie that I have seen on TV a long time ago (15-20 years ago). I think it was a dark comedy, with an opening scene featuring two women hitchhicking; one of them lifts her skirts and makes a car crash. They reach a mansion (which was about to be inherited by one of them), and spend the night. One of the women gets killed (the one inheriting the mansion was supposed to get killed, but because they changed rooms, the other one gets murdered). The ghost of the dead woman remains to haunt the house. A clumsy detective appears to solve the crime but gets himself in a set of ridiculous situations (at some point there is a scene in which he gets trapped in a refrigerator); in the attempt to solve the mistery, they discover secret passageways and chambers of the mansion (one of them leads to a river used to transport dead bodies). That’s all the information I have (and I am not entirely certain of their accuracy – it’s been a long time since I’ve seen the movie). Any suggestions are much appreciated. Cheers!	https://en.wikipedia.org/wiki/Topper_Returns	Topper Returns
228	I saw this presidential spoof movie on TCM about 6 years ago, most likely originally from the 70s. It was in color. I remember two scenes. In one scene the protagonist is on a house boat I think it was yellow. I believe he may have been choosing clothes at some point. I remember him talking to someone as he walked throughout the boat. In another scene I think he tries to reach out to hippies. He tries drugs and makes love in the grass with one maybe two women. I saw this on TV so nothing explicit, but I remember the humor being very dry and adult.	https://en.wikipedia.org/wiki/The_President%27s_Analyst#In_popular_culture	The President%27s Analyst#In popular culture
978	I can’t remember what the overall theme was but there was a scene in it where a man and woman were in the backseat of a car making out etc. The view switched back and forth from what they were doing to a cartoon of what was happening inside the man’s body, like, little guys pulling levers. Anyone remember what the movie was?	https://en.wikipedia.org/wiki/Everything_You_Always_Wanted_to_Know_About_Sex*_(*But_Were_Afraid_to_Ask)_(film)	Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask) (film)
972	1960s British comedy similar in style to “The Gods Must Be Crazy”. An English couple head overseas on safari. The woman is the sensible one whereas the man is the naive, silly one. He gets his jeep stuck on a muddy bush track (the film is sped up as he rushes about trying to extract himself from his predicament). The film is slightly notable for the fact that I recognize some of the tunes played throughout the movie. Any ideas anyone?	https://en.wikipedia.org/wiki/The_Gods_Must_Be_Crazy	The Gods Must Be Crazy
551	The film begins with rednecks in a truck towing another redneck on a board down a slope. The towed man crashed into a barbed wire fence. A city-dweller with his wife on holiday is harassed by them. He defeats the ring leader with a karate blow.  I forget the rest.	https://en.wikipedia.org/wiki/The_Shuttered_Room	The Shuttered Room
